Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,26.120001,26.120001,25.948999,25.948999,25.948999,105
2020-12-21,26.004999,26.990000,25.410000,26.278000,26.278000,153
2020-12-22,26.475000,26.670000,25.275000,25.434000,25.434000,93
2020-12-23,25.555000,25.823999,25.555000,25.823999,25.823999,68
2020-12-24,null,null,null,null,null,null
2020-12-28,26.799999,26.820000,26.455000,26.459999,26.459999,140
2020-12-29,26.250000,26.250000,26.138000,26.138000,26.138000,191
2020-12-30,26.320000,26.525000,26.260000,26.488001,26.488001,77
2020-12-31,26.530001,26.540001,26.332001,26.332001,26.332001,36
2021-01-04,27.284000,27.284000,27.284000,27.284000,27.284000,52
2021-01-05,27.570999,27.570999,27.570999,27.570999,27.570999,4
2021-01-06,27.424999,27.424999,26.973000,26.973000,26.973000,50
2021-01-07,27.200001,27.200001,27.200001,27.200001,27.200001,3
2021-01-08,24.582001,25.325001,24.582001,24.582001,24.582001,3
2021-01-11,25.520000,25.520000,24.725000,25.239000,25.239000,11
2021-01-12,25.139999,25.385000,25.105000,25.384001,25.384001,90
2021-01-13,25.545000,25.545000,25.500000,25.520000,25.520000,211
2021-01-14,25.746000,25.746000,25.746000,25.746000,25.746000,66
2021-01-15,25.430000,25.469999,24.825001,24.825001,24.825001,88
2021-01-19,24.915001,25.278999,24.915001,25.278999,25.278999,4
2021-01-20,25.424999,25.733999,25.415001,25.733999,25.733999,151
2021-01-21,25.822001,25.822001,25.822001,25.822001,25.822001,0
2021-01-22,25.524000,25.540001,25.524000,25.524000,25.524000,10
2021-01-25,25.455000,25.455000,25.455000,25.455000,25.455000,5
2021-01-26,25.528999,25.528999,25.528999,25.528999,25.528999,92
2021-01-27,25.375999,25.375999,25.375999,25.375999,25.375999,610
2021-01-28,25.084999,27.010000,24.930000,25.909000,25.909000,508
2021-01-29,26.639999,27.575001,26.370001,26.900000,26.900000,32
2021-02-01,28.360001,30.160000,28.299999,29.398001,29.398001,474
2021-02-02,28.645000,28.930000,26.384001,26.384001,26.384001,91
2021-02-03,26.940001,27.025000,26.860001,26.878000,26.878000,143
2021-02-04,26.674999,26.674999,26.004999,26.223000,26.223000,114
2021-02-05,26.430000,27.014000,26.430000,27.014000,27.014000,58
2021-02-08,27.280001,27.570000,27.280001,27.570000,27.570000,6
2021-02-09,27.424999,27.445000,27.290001,27.396000,27.396000,5
2021-02-10,27.105000,27.105000,27.073999,27.073999,27.073999,32
2021-02-11,27.170000,27.170000,26.910000,27.042000,27.042000,3
2021-02-12,27.323000,27.323000,27.323000,27.323000,27.323000,0
2021-02-16,27.510000,27.510000,27.059999,27.319000,27.319000,64
2021-02-17,27.313999,27.313999,27.313999,27.313999,27.313999,125
2021-02-18,27.125000,27.125000,27.077000,27.077000,27.077000,2
2021-02-19,27.504999,27.549999,27.252001,27.252001,27.252001,8
2021-02-22,28.083000,28.100000,28.083000,28.083000,28.083000,248
2021-02-23,27.686001,27.686001,27.686001,27.686001,27.686001,8
2021-02-24,27.857000,27.857000,27.857000,27.857000,27.857000,73500
2021-02-25,28.030001,28.264999,27.295000,27.636999,27.636999,13035
2021-02-26,27.455000,27.559999,26.180000,26.402000,26.402000,1205
2021-03-01,26.690001,26.990000,26.490000,26.646999,26.646999,519
2021-03-02,26.385000,26.850000,25.860001,26.850000,26.850000,703
2021-03-03,26.805000,26.805000,25.934999,26.357000,26.357000,241
2021-03-04,26.120001,26.330000,25.209999,25.434000,25.434000,914
2021-03-05,25.344999,25.370001,24.905001,25.257000,25.257000,339
2021-03-08,25.520000,25.709999,25.000000,25.240000,25.240000,76
2021-03-09,25.225000,26.148001,25.225000,26.148001,26.148001,133
2021-03-10,26.010000,26.280001,25.780001,26.101999,26.101999,85
2021-03-11,26.150000,26.410000,26.040001,26.162001,26.162001,37
2021-03-12,26.145000,26.200001,25.459999,25.879999,25.879999,244
2021-03-15,26.200001,26.334999,25.924999,26.253000,26.253000,148
